Referencia, Color, Cantidad, TInicial, TFinal 
6, Blanco  ,91,0,11.78
6, Blanco  ,91,11.78,23.56
6, Blanco  ,91,23.56,35.34
6, Blanco  ,91,35.34,47.12
6, Blanco  ,91,47.12,58.9
6, Blanco  ,91,58.9,70.68
6, Blanco  ,91,70.68,82.46
6, Blanco  ,91,82.46,94.24
6, Blanco  ,91,94.24,106.02
6, Blanco  ,91,106.02,117.8
6, Blanco  ,91,117.8,129.58
6, Blanco  ,91,129.58,141.36
6, Blanco  ,91,141.36,153.14
6, Blanco  ,91,153.14,164.92
6, Blanco  ,91,164.92,176.7
6, Blanco  ,91,176.7,188.48
6, Blanco  ,91,188.48,200.26
6, Blanco  ,91,200.26,212.04
6, Blanco  ,91,212.04,223.82
6, Blanco  ,91,223.82,235.6
6, Blanco  ,91,235.6,247.38
6, Blanco  ,91,247.38,259.16
6, Blanco  ,91,259.16,270.94
6, Blanco  ,91,270.94,282.72
6, Blanco  ,91,282.72,294.5
6, Blanco  ,91,294.5,306.28
6, Blanco  ,91,306.28,318.06
6, Blanco  ,91,318.06,329.84
6, Blanco  ,91,329.84,341.62
6, Blanco  ,91,341.62,353.4
6, Blanco  ,91,353.4,365.18
6, Blanco  ,91,365.18,376.96
6, Blanco  ,91,376.96,388.74
6, Blanco  ,91,388.74,400.52
6, Blanco  ,91,400.52,412.3
6, Blanco  ,91,412.3,424.08
6, Blanco  ,91,424.08,435.86
6, Blanco  ,91,435.86,447.64
6, Blanco  ,91,447.64,459.42
6, Blanco  ,91,459.42,471.2
6, Blanco  ,91,471.2,482.98
6, Blanco  ,91,482.98,494.76
6, Blanco  ,91,494.76,506.54
6, Blanco  ,91,506.54,518.32
6, Blanco  ,91,518.32,530.1
6, Blanco  ,91,530.1,541.88
6, Blanco  ,91,541.88,553.66
6, Blanco  ,91,553.66,565.44
6, Blanco  ,91,565.44,577.22
6, Blanco  ,91,577.22,589
6, Blanco  ,91,589,600.78
6, Blanco  ,91,600.78,612.56
6, Blanco  ,91,612.56,624.34
6, Blanco  ,91,624.34,636.12
6, Blanco  ,91,636.12,647.9
6, Blanco  ,91,647.9,659.68
6, Blanco  ,91,659.68,671.46
6, Blanco  ,91,671.46,683.24
6, Blanco  ,91,683.24,695.02
6, Blanco  ,91,695.02,706.8
6, Blanco  ,91,706.8,718.58
6, Blanco  ,91,718.58,730.36
6, Blanco  ,91,730.36,742.14
6, Blanco  ,91,742.14,753.92
6, Blanco  ,91,753.92,765.7
6, Blanco  ,91,765.7,777.48
6, Blanco  ,91,777.48,789.26
6, Blanco  ,91,789.26,801.04
6, Blanco  ,91,801.04,812.82
6, Blanco  ,91,812.82,824.6
6, Blanco  ,91,824.6,836.38
6, Blanco  ,91,836.38,848.16
6, Blanco  ,91,848.16,859.94
6, Blanco  ,91,859.94,871.72
6, Blanco  ,91,871.72,883.5
6, Blanco  ,91,883.5,895.28
6, Blanco  ,91,895.28,907.06
6, Blanco  ,91,907.06,918.84
6, Blanco  ,91,918.84,930.62
6, Blanco  ,91,930.62,942.4
6, Blanco  ,91,942.4,954.18
6, Blanco  ,91,954.18,965.96
6, Blanco  ,91,965.96,977.74
6, Blanco  ,91,977.74,989.52
6, Blanco  ,91,989.52,1001.3
6, Blanco  ,91,1001.3,1013.08
6, Blanco  ,91,1013.08,1024.86
6, Blanco  ,63,1024.86,1036.64
8, Blanco  ,60,1036.64,1045.32
8, Blanco  ,60,1045.32,1054
8, Blanco  ,60,1054,1062.68
8, Blanco  ,60,1062.68,1071.36
8, Blanco  ,60,1071.36,1080.04
8, Blanco  ,60,1080.04,1088.72
8, Blanco  ,60,1088.72,1097.4
8, Blanco  ,60,1097.4,1106.08
8, Blanco  ,60,1106.08,1114.76
8, Blanco  ,60,1114.76,1123.44
8, Blanco  ,60,1123.44,1132.12
8, Blanco  ,60,1132.12,1140.8
8, Blanco  ,60,1140.8,1149.48
8, Blanco  ,60,1149.48,1158.16
8, Blanco  ,60,1158.16,1166.84
8, Blanco  ,60,1166.84,1175.52
8, Blanco  ,60,1175.52,1184.2
8, Blanco  ,60,1184.2,1192.88
8, Blanco  ,60,1192.88,1201.56
8, Blanco  ,60,1201.56,1210.24
8, Blanco  ,60,1210.24,1218.92
8, Blanco  ,60,1218.92,1227.6
8, Blanco  ,60,1227.6,1236.28
8, Blanco  ,60,1236.28,1244.96
8, Blanco  ,60,1244.96,1253.64
8, Blanco  ,60,1253.64,1262.32
8, Blanco  ,60,1262.32,1271
8, Blanco  ,60,1271,1279.68
8, Blanco  ,60,1279.68,1288.36
8, Blanco  ,60,1288.36,1297.04
8, Blanco  ,60,1297.04,1305.72
8, Blanco  ,60,1305.72,1314.4
8, Blanco  ,60,1314.4,1323.08
8, Blanco  ,60,1323.08,1331.76
8, Blanco  ,60,1331.76,1340.44
8, Blanco  ,60,1340.44,1349.12
8, Blanco  ,60,1349.12,1357.8
8, Blanco  ,60,1357.8,1366.48
8, Blanco  ,60,1366.48,1375.16
8, Blanco  ,60,1375.16,1383.84
8, Blanco  ,60,1383.84,1392.52
8, Blanco  ,60,1392.52,1401.2
8, Blanco  ,60,1401.2,1409.88
8, Blanco  ,60,1409.88,1418.56
8, Blanco  ,60,1418.56,1427.24
8, Blanco  ,60,1427.24,1435.92
8, Blanco  ,60,1435.92,1444.6
8, Blanco  ,60,1444.6,1453.28
8, Blanco  ,60,1453.28,1461.96
8, Blanco  ,60,1461.96,1470.64
8, Blanco  ,60,1470.64,1479.32
8, Blanco  ,60,1479.32,1488
8, Blanco  ,60,1488,1496.68
8, Blanco  ,60,1496.68,1505.36
8, Blanco  ,60,1505.36,1514.04
8, Blanco  ,60,1514.04,1522.72
8, Blanco  ,60,1522.72,1531.4
8, Blanco  ,60,1531.4,1540.08
8, Blanco  ,60,1540.08,1548.76
8, Blanco  ,60,1548.76,1557.44
8, Blanco  ,60,1557.44,1566.12
8, Blanco  ,60,1566.12,1574.8
8, Blanco  ,60,1574.8,1583.48
8, Blanco  ,60,1583.48,1592.16
8, Blanco  ,60,1592.16,1600.84
8, Blanco  ,60,1600.84,1609.52
8, Blanco  ,60,1609.52,1618.2
8, Blanco  ,60,1618.2,1626.88
8, Blanco  ,60,1626.88,1635.56
8, Blanco  ,60,1635.56,1644.24
8, Blanco  ,60,1644.24,1652.92
8, Blanco  ,60,1652.92,1661.6
8, Blanco  ,60,1661.6,1670.28
8, Blanco  ,60,1670.28,1678.96
8, Blanco  ,60,1678.96,1687.64
8, Blanco  ,60,1687.64,1696.32
8, Blanco  ,60,1696.32,1705
8, Blanco  ,60,1705,1713.68
8, Blanco  ,60,1713.68,1722.36
8, Blanco  ,60,1722.36,1731.04
8, Blanco  ,60,1731.04,1739.72
8, Blanco  ,60,1739.72,1748.4
8, Blanco  ,60,1748.4,1757.08
8, Blanco  ,60,1757.08,1765.76
8, Blanco  ,60,1765.76,1774.44
8, Blanco  ,60,1774.44,1783.12
8, Blanco  ,60,1783.12,1791.8
8, Blanco  ,60,1791.8,1800.48
8, Blanco  ,60,1800.48,1809.16
8, Blanco  ,60,1809.16,1817.84
8, Blanco  ,60,1817.84,1826.52
8, Blanco  ,60,1826.52,1835.2
8, Blanco  ,60,1835.2,1843.88
8, Blanco  ,60,1843.88,1852.56
8, Blanco  ,60,1852.56,1861.24
8, Blanco  ,60,1861.24,1869.92
8, Blanco  ,60,1869.92,1878.6
8, Blanco  ,60,1878.6,1887.28
8, Blanco  ,40,1887.28,1895.96
2, Blanco  ,100,1895.96,1910.36
2, Blanco  ,100,1910.36,1924.76
2, Blanco  ,100,1924.76,1939.16
2, Blanco  ,100,1939.16,1953.56
2, Blanco  ,100,1953.56,1967.96
2, Blanco  ,100,1967.96,1982.36
2, Blanco  ,100,1982.36,1996.76
2, Blanco  ,100,1996.76,2011.16
2, Blanco  ,100,2011.16,2025.56
2, Blanco  ,100,2025.56,2039.96
2, Blanco  ,100,2039.96,2054.36
2, Blanco  ,100,2054.36,2068.76
2, Blanco  ,100,2068.76,2083.16
2, Blanco  ,100,2083.16,2097.56
2, Blanco  ,100,2097.56,2111.96
2, Blanco  ,100,2111.96,2126.36
2, Blanco  ,100,2126.36,2140.76
2, Blanco  ,100,2140.76,2155.16
2, Blanco  ,100,2155.16,2169.56
2, Blanco  ,100,2169.56,2183.96
2, Blanco  ,100,2183.96,2198.36
2, Blanco  ,100,2198.36,2212.76
2, Blanco  ,100,2212.76,2227.16
2, Blanco  ,100,2227.16,2241.56
2, Blanco  ,100,2241.56,2255.96
2, Blanco  ,100,2255.96,2270.36
2, Blanco  ,100,2270.36,2284.76
2, Blanco  ,100,2284.76,2299.16
2, Blanco  ,100,2299.16,2313.56
2, Blanco  ,100,2313.56,2327.96
2, Blanco  ,100,2327.96,2342.36
2, Blanco  ,100,2342.36,2356.76
2, Blanco  ,100,2356.76,2371.16
2, Blanco  ,100,2371.16,2385.56
2, Blanco  ,100,2385.56,2399.96
2, Blanco  ,100,2399.96,2414.36
2, Blanco  ,100,2414.36,2428.76
2, Blanco  ,100,2428.76,2443.16
2, Blanco  ,100,2443.16,2457.56
2, Blanco  ,100,2457.56,2471.96
2, Blanco  ,100,2471.96,2486.36
2, Blanco  ,100,2486.36,2500.76
2, Blanco  ,100,2500.76,2515.16
2, Blanco  ,100,2515.16,2529.56
2, Blanco  ,100,2529.56,2543.96
2, Blanco  ,100,2543.96,2558.36
2, Blanco  ,100,2558.36,2572.76
2, Blanco  ,100,2572.76,2587.16
2, Blanco  ,100,2587.16,2601.56
2, Blanco  ,100,2601.56,2615.96
2, Blanco  ,100,2615.96,2630.36
2, Blanco  ,20,2630.36,2644.76
12, Blanco  ,40,2644.76,2649.32
12, Blanco  ,40,2649.32,2653.88
12, Blanco  ,40,2653.88,2658.44
12, Blanco  ,40,2658.44,2663
12, Blanco  ,40,2663,2667.56
12, Blanco  ,40,2667.56,2672.12
12, Blanco  ,40,2672.12,2676.68
12, Blanco  ,40,2676.68,2681.24
12, Blanco  ,40,2681.24,2685.8
12, Blanco  ,40,2685.8,2690.36
12, Blanco  ,40,2690.36,2694.92
12, Blanco  ,40,2694.92,2699.48
12, Blanco  ,40,2699.48,2704.04
12, Blanco  ,40,2704.04,2708.6
12, Blanco  ,40,2708.6,2713.16
12, Blanco  ,40,2713.16,2717.72
12, Blanco  ,40,2717.72,2722.28
12, Blanco  ,40,2722.28,2726.84
12, Blanco  ,40,2726.84,2731.4
12, Blanco  ,40,2731.4,2735.96
12, Blanco  ,40,2735.96,2740.52
12, Blanco  ,40,2740.52,2745.08
12, Blanco  ,40,2745.08,2749.64
12, Blanco  ,40,2749.64,2754.2
12, Blanco  ,40,2754.2,2758.76
12, Blanco  ,40,2758.76,2763.32
12, Blanco  ,40,2763.32,2767.88
12, Blanco  ,40,2767.88,2772.44
12, Blanco  ,40,2772.44,2777
12, Blanco  ,40,2777,2781.56
12, Blanco  ,40,2781.56,2786.12
12, Blanco  ,40,2786.12,2790.68
12, Blanco  ,40,2790.68,2795.24
12, Blanco  ,40,2795.24,2799.8
12, Blanco  ,40,2799.8,2804.36
12, Blanco  ,40,2804.36,2808.92
12, Blanco  ,40,2808.92,2813.48
12, Blanco  ,40,2813.48,2818.04
12, Blanco  ,40,2818.04,2822.6
12, Blanco  ,40,2822.6,2827.16
12, Blanco  ,40,2827.16,2831.72
12, Blanco  ,40,2831.72,2836.28
12, Blanco  ,40,2836.28,2840.84
12, Blanco  ,40,2840.84,2845.4
12, Blanco  ,40,2845.4,2849.96
12, Blanco  ,40,2849.96,2854.52
12, Blanco  ,40,2854.52,2859.08
12, Blanco  ,40,2859.08,2863.64
12, Blanco  ,40,2863.64,2868.2
12, Blanco  ,8,2868.2,2872.76
22, Blanco  ,24,2872.76,2877.5
22, Blanco  ,24,2877.5,2882.24
22, Blanco  ,24,2882.24,2886.98
22, Blanco  ,24,2886.98,2891.72
22, Blanco  ,24,2891.72,2896.46
22, Blanco  ,24,2896.46,2901.2
22, Blanco  ,24,2901.2,2905.94
22, Blanco  ,24,2905.94,2910.68
22, Blanco  ,12,2910.68,2915.42
6, Blanco  ,91,2915.42,2927.2
6, Blanco  ,91,2927.2,2938.98
6, Blanco  ,91,2938.98,2950.76
6, Blanco  ,91,2950.76,2962.54
6, Blanco  ,91,2962.54,2974.32
6, Blanco  ,91,2974.32,2986.1
6, Blanco  ,91,2986.1,2997.88
6, Blanco  ,91,2997.88,3009.66
6, Blanco  ,91,3009.66,3021.44
6, Blanco  ,91,3021.44,3033.22
6, Blanco  ,91,3033.22,3045
6, Blanco  ,91,3045,3056.78
6, Blanco  ,91,3056.78,3068.56
6, Blanco  ,91,3068.56,3080.34
6, Blanco  ,91,3080.34,3092.12
6, Blanco  ,91,3092.12,3103.9
6, Blanco  ,91,3103.9,3115.68
6, Blanco  ,91,3115.68,3127.46
6, Blanco  ,91,3127.46,3139.24
6, Blanco  ,91,3139.24,3151.02
6, Blanco  ,91,3151.02,3162.8
6, Blanco  ,91,3162.8,3174.58
6, Blanco  ,91,3174.58,3186.36
6, Blanco  ,91,3186.36,3198.14
6, Blanco  ,91,3198.14,3209.92
6, Blanco  ,91,3209.92,3221.7
6, Blanco  ,91,3221.7,3233.48
6, Blanco  ,91,3233.48,3245.26
6, Blanco  ,91,3245.26,3257.04
6, Blanco  ,91,3257.04,3268.82
6, Blanco  ,91,3268.82,3280.6
6, Blanco  ,91,3280.6,3292.38
6, Blanco  ,91,3292.38,3304.16
6, Blanco  ,91,3304.16,3315.94
6, Blanco  ,91,3315.94,3327.72
6, Blanco  ,91,3327.72,3339.5
6, Blanco  ,91,3339.5,3351.28
6, Blanco  ,91,3351.28,3363.06
6, Blanco  ,91,3363.06,3374.84
6, Blanco  ,91,3374.84,3386.62
6, Blanco  ,91,3386.62,3398.4
6, Blanco  ,91,3398.4,3410.18
6, Blanco  ,91,3410.18,3421.96
6, Blanco  ,91,3421.96,3433.74
6, Blanco  ,91,3433.74,3445.52
6, Blanco  ,91,3445.52,3457.3
6, Blanco  ,91,3457.3,3469.08
6, Blanco  ,91,3469.08,3480.86
6, Blanco  ,91,3480.86,3492.64
6, Blanco  ,91,3492.64,3504.42
6, Blanco  ,91,3504.42,3516.2
6, Blanco  ,91,3516.2,3527.98
6, Blanco  ,91,3527.98,3539.76
6, Blanco  ,91,3539.76,3551.54
6, Blanco  ,91,3551.54,3563.32
6, Blanco  ,91,3563.32,3575.1
6, Blanco  ,91,3575.1,3586.88
6, Blanco  ,91,3586.88,3598.66
6, Blanco  ,91,3598.66,3610.44
6, Blanco  ,91,3610.44,3622.22
6, Blanco  ,91,3622.22,3634
6, Blanco  ,91,3634,3645.78
6, Blanco  ,91,3645.78,3657.56
6, Blanco  ,91,3657.56,3669.34
6, Blanco  ,91,3669.34,3681.12
6, Blanco  ,91,3681.12,3692.9
6, Blanco  ,91,3692.9,3704.68
6, Blanco  ,91,3704.68,3716.46
6, Blanco  ,91,3716.46,3728.24
6, Blanco  ,91,3728.24,3740.02
6, Blanco  ,91,3740.02,3751.8
6, Blanco  ,91,3751.8,3763.58
6, Blanco  ,91,3763.58,3775.36
6, Blanco  ,91,3775.36,3787.14
6, Blanco  ,91,3787.14,3798.92
6, Blanco  ,91,3798.92,3810.7
6, Blanco  ,91,3810.7,3822.48
6, Blanco  ,91,3822.48,3834.26
6, Blanco  ,91,3834.26,3846.04
6, Blanco  ,91,3846.04,3857.82
6, Blanco  ,91,3857.82,3869.6
6, Blanco  ,91,3869.6,3881.38
6, Blanco  ,91,3881.38,3893.16
6, Blanco  ,91,3893.16,3904.94
6, Blanco  ,91,3904.94,3916.72
6, Blanco  ,91,3916.72,3928.5
6, Blanco  ,91,3928.5,3940.28
6, Blanco  ,63,3940.28,3952.06
8, Blanco  ,60,3952.06,3960.74
8, Blanco  ,60,3960.74,3969.42
8, Blanco  ,60,3969.42,3978.1
8, Blanco  ,60,3978.1,3986.78
8, Blanco  ,60,3986.78,3995.46
8, Blanco  ,60,3995.46,4004.14
8, Blanco  ,60,4004.14,4012.82
8, Blanco  ,60,4012.82,4021.5
8, Blanco  ,60,4021.5,4030.18
8, Blanco  ,60,4030.18,4038.86
8, Blanco  ,60,4038.86,4047.54
8, Blanco  ,60,4047.54,4056.22
8, Blanco  ,60,4056.22,4064.9
8, Blanco  ,60,4064.9,4073.58
8, Blanco  ,60,4073.58,4082.26
8, Blanco  ,60,4082.26,4090.94
8, Blanco  ,60,4090.94,4099.62
8, Blanco  ,60,4099.62,4108.3
8, Blanco  ,60,4108.3,4116.98
8, Blanco  ,60,4116.98,4125.66
8, Blanco  ,60,4125.66,4134.34
8, Blanco  ,60,4134.34,4143.02
8, Blanco  ,60,4143.02,4151.7
8, Blanco  ,60,4151.7,4160.38
8, Blanco  ,60,4160.38,4169.06
8, Blanco  ,60,4169.06,4177.74
8, Blanco  ,60,4177.74,4186.42
8, Blanco  ,60,4186.42,4195.1
8, Blanco  ,60,4195.1,4203.78
8, Blanco  ,60,4203.78,4212.46
8, Blanco  ,60,4212.46,4221.14
8, Blanco  ,60,4221.14,4229.82
8, Blanco  ,60,4229.82,4238.5
8, Blanco  ,60,4238.5,4247.18
8, Blanco  ,60,4247.18,4255.86
8, Blanco  ,60,4255.86,4264.54
8, Blanco  ,60,4264.54,4273.22
8, Blanco  ,60,4273.22,4281.9
8, Blanco  ,60,4281.9,4290.58
8, Blanco  ,60,4290.58,4299.26
8, Blanco  ,60,4299.26,4307.94
8, Blanco  ,60,4307.94,4316.62
8, Blanco  ,60,4316.62,4325.3
8, Blanco  ,60,4325.3,4333.98
8, Blanco  ,60,4333.98,4342.66
8, Blanco  ,60,4342.66,4351.34
8, Blanco  ,60,4351.34,4360.02
8, Blanco  ,60,4360.02,4368.7
8, Blanco  ,60,4368.7,4377.38
8, Blanco  ,60,4377.38,4386.06
8, Blanco  ,60,4386.06,4394.74
8, Blanco  ,60,4394.74,4403.42
8, Blanco  ,60,4403.42,4412.1
8, Blanco  ,60,4412.1,4420.78
8, Blanco  ,60,4420.78,4429.46
8, Blanco  ,60,4429.46,4438.14
8, Blanco  ,60,4438.14,4446.82
8, Blanco  ,60,4446.82,4455.5
8, Blanco  ,60,4455.5,4464.18
8, Blanco  ,60,4464.18,4472.86
8, Blanco  ,60,4472.86,4481.54
8, Blanco  ,60,4481.54,4490.22
8, Blanco  ,60,4490.22,4498.9
8, Blanco  ,60,4498.9,4507.58
8, Blanco  ,60,4507.58,4516.26
8, Blanco  ,60,4516.26,4524.94
8, Blanco  ,60,4524.94,4533.62
8, Blanco  ,60,4533.62,4542.3
8, Blanco  ,60,4542.3,4550.98
8, Blanco  ,60,4550.98,4559.66
8, Blanco  ,60,4559.66,4568.34
8, Blanco  ,60,4568.34,4577.02
8, Blanco  ,60,4577.02,4585.7
8, Blanco  ,60,4585.7,4594.38
8, Blanco  ,60,4594.38,4603.06
8, Blanco  ,60,4603.06,4611.74
